stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
124,5,4,4,4,4,4,5,4,5,4,4,3,5,5,4,3,3,4,3,3,4,4,4,3,3,3,4
125,4,4,5,4,5,3,5,4,5,5,3,4,4,3,3,4,4,5,5,4,5,4,5,3,5,4,5
126,3,4,3,3,3,3,5,4,4,4,3,2,4,5,5,5,4,4,4,5,5,3,4,4,4,4,4
127,4,5,4,3,3,2,4,4,5,5,5,4,5,5,5,3,4,3,5,5,5,5,3,4,3,3,5
128,3,4,5,5,4,4,4,3,3,3,2,3,5,5,4,4,3,4,4,5,3,2,3,4,4,5,4
129,4,4,4,5,2,3,5,5,4,3,5,5,3,4,5,3,5,4,4,4,4,2,3,3,4,5,3
130,4,4,4,5,3,4,3,4,5,4,5,3,5,4,4,4,4,5,4,5,4,4,3,2,3,2,3
131,3,5,5,4,5,5,4,5,4,4,4,5,5,4,3,3,5,4,3,3,3,4,5,3,5,5,2
132,5,5,5,3,4,3,3,4,4,3,5,5,4,4,4,2,4,3,5,5,4,4,5,4,5,5,4
133,5,4,3,3,3,3,4,5,5,4,3,3,3,4,5,4,3,3,4,4,4,3,3,4,3,4,5
134,4,4,3,2,5,2,3,4,5,4,3,5,5,5,3,5,4,3,5,4,5,3,2,2,4,3,3
135,4,5,3,4,5,5,4,4,4,4,3,4,4,5,5,4,3,5,5,5,5,4,4,4,3,4,3
136,4,3,3,4,4,3,4,4,4,5,3,5,5,3,3,3,4,3,5,5,5,5,3,5,5,4,5
137,4,5,5,3,5,2,2,4,5,4,5,3,5,5,5,3,4,3,5,5,4,4,5,5,4,3,5
138,5,5,5,4,3,5,5,3,5,5,5,4,3,5,4,5,4,4,5,3,4,3,4,3,3,4,4
139,5,4,3,4,5,5,5,3,3,5,5,5,4,5,4,5,3,4,4,4,4,4,3,3,4,4,4
